ID,Rating,Comment,Date
ChZDSUhNMG9nS0VJQ0FnSUNmZ3VtSklBEAE,5,服務一流  產品也很棒,2 週前
ChZDSUhNMG9nS0VJQ0FnSURIbWNpWVh3EAE,2,普通,3 個月前
ChZDSUhNMG9nS0VJQ0FnSUQ3ellyMllREAE,5,把手好美 <333333,4 個月前
ChdDSUhNMG9nS0VJQ0FnSUNaMU1DdzdBRRAB,5,,1 年前
ChZDSUhNMG9nS0VJQ0FnSURWeThxaGZ3EAE,5,,1 年前
ChdDSUhNMG9nS0VJQ0FnSUNGbmVEOThRRRAB,5,,1 年前
ChdDSUhNMG9nS0VJQ0FnSUNwMy1UVTRRRRAB,5,款式多樣，質感精緻，價錢合理，現場人員服務很好，室內設計師推薦,1 年前
ChdDSUhNMG9nS0VJQ0FnSURKaklmWHh3RRAB,5,五金首選 台北市最好看的門把五金,1 年前
ChdDSUhNMG9nS0VJQ0FnSUN4dDl1QW1BRRAB,5,,1 年前
ChdDSUhNMG9nS0VJQ0FnSURSNGJYM2xnRRAB,5,"昇得五金，深得我心♥️♥️♥️
找了8家都買不到180度6分吋15的門片鉸鏈，其他家五金老闆還騙我90度就是180度，沒有那種東西之類的！

昇得店員專業服務又好，太讓我痛哭流涕了😭😭😭",1 年前
ChdDSUhNMG9nS0VJQ0FnSUNSbEpHcHpBRRAB,4,,1 年前
ChZDSUhNMG9nS0VJQ0FnSUNCZ1BidkFREAE,5,,2 年前
ChZDSUhNMG9nS0VJQ0FnSUQteExMRFJBEAE,5,種類眾多精美高檔,2 年前
ChZDSUhNMG9nS0VJQ0FnSUNlLTh1WEFREAE,5,,2 年前
ChZDSUhNMG9nS0VJQ0FnSUN1LVlDZGFBEAE,5,樣式跟種類可選擇性真的很多， 服務人員相當親切， 如果有需要一定會再上門的,2 年前
ChZDSUhNMG9nS0VJQ0FnSURPbzdPSFl3EAE,5,老闆很好👍。 …,2 年前
ChZDSUhNMG9nS0VJQ0FnSUQyMnNqQU5nEAE,5,,2 年前
ChZDSUhNMG9nS0VJQ0FnSURXdWNxWmNnEAE,5,選五金,2 年前
ChdDSUhNMG9nS0VJQ0FnSURtaVpPazlRRRAB,5,,2 年前
ChZDSUhNMG9nS0VJQ0FnSUQ2MmZtMWRBEAE,3,,3 年前
ChdDSUhNMG9nS0VJQ0FnSUM2d2VUejN3RRAB,5,"建材材料很多,老闆很專業,很親切,我看過最時尚裝潢的五金材料行",3 年前
ChZDSUhNMG9nS0VJQ0FnSURhZ3NXOFBnEAE,5,老闆和門市服務人員都很親切,3 年前
ChdDSUhNMG9nS0VJQ0FnSURxMUxyOF93RRAB,3,,3 年前
ChZDSUhNMG9nS0VJQ0FnSUNxN2RxM2ZnEAE,5,,3 年前
ChZDSUhNMG9nS0VJQ0FnSUNxMUxpaUJ3EAE,5,,3 年前
ChdDSUhNMG9nS0VJQ0FnSURLdjZMWXRBRRAB,5,,3 年前
ChdDSUhNMG9nS0VJQ0FnSURLeGFUQl93RRAB,5,老闆娘超級親切又熱心的啦！,3 年前
ChZDSUhNMG9nS0VJQ0FnSURLMktHY053EAE,5,,3 年前
ChdDSUhNMG9nS0VJQ0FnSURLcVBpZDdRRRAB,1,"訂貨說等貨到,結果過了一個月在詢問居然回說不進貨了!
也不主動告知,整整白等快一個月
有夠無言!",3 年前
ChZDSUhNMG9nS0VJQ0FnSUNLdjRIUVRBEAE,4,,3 年前
ChdDSUhNMG9nS0VJQ0FnSURvejdmWnJRRRAB,5,門把的總類很多，進口國產的都有，裝潢需求的好地方。,3 年前
ChZDSUhNMG9nS0VJQ0FnSUN5M0lEOUdBEAE,4,老闆人很客氣會很有耐心解說,3 年前
ChdDSUhNMG9nS0VJQ0FnSUN5Nkpud29BRRAB,5,,3 年前
ChdDSUhNMG9nS0VJQ0FnSURTenJ6YThBRRAB,5,五金很美～價格實惠,4 年前
ChdDSUhNMG9nS0VJQ0FnSUNTLWR1Y3V3RRAB,5,商品品質很高，門市人員也親切講解，買裝潢五金的好去處,4 年前
ChdDSUhNMG9nS0VJQ0FnSURpNHZMN3RBRRAB,4,,4 年前
ChdDSUhNMG9nS0VJQ0FnSUNpMV9PbndnRRAB,4,老闆對五金很有熱誠 也滿專業的 和一般五金店不同是可以協助客人坐一些比較訂製的部分 像是協助送烤漆 或代訂代找一些比較少見的物件,4 年前
ChZDSUhNMG9nS0VJQ0FnSURDMUlLbVNREAE,5,,4 年前
ChZDSUhNMG9nS0VJQ0FnSUNDMFk3TUh3EAE,5,老闆跟闆娘都很親切客氣，有問必答，態度好又專業，傳統五金與特別的五金這裡都有，選擇很多，是很用心經營的店家。💯 …,4 年前
